# temperature_K system_id system_label bin_meV dens_1_per_meV cum
100 1 (TiO$_{2}$)$_{1}$ 0 0.0 0.0
100 1 (TiO$_{2}$)$_{1}$ 0.1 7.075907748021966 0.7075907748021967
100 1 (TiO$_{2}$)$_{1}$ 0.2 0.12043743448041822 0.7196345182502385
100 1 (TiO$_{2}$)$_{1}$ 0.30000000000000004 0.10173448966001694 0.7298079672162402
100 1 (TiO$_{2}$)$_{1}$ 0.4 0.09530162965809555 0.7393381301820497
100 1 (TiO$_{2}$)$_{1}$ 0.5 0.05908701038801924 0.7452468312208517
100 1 (TiO$_{2}$)$_{1}$ 0.6 0.06659201372359426 0.7519060325932111
100 1 (TiO$_{2}$)$_{1}$ 0.7 0.0582531211285109 0.7577313447060622
100 1 (TiO$_{2}$)$_{1}$ 0.7999999999999999 0.053726293719751364 0.7631039740780373
100 1 (TiO$_{2}$)$_{1}$ 0.8999999999999999 0.057776612980220424 0.7688816353760594
100 1 (TiO$_{2}$)$_{1}$ 0.9999999999999999 0.05432192890511446 0.7743138282665708
100 1 (TiO$_{2}$)$_{1}$ 1.0999999999999999 0.047650814829047775 0.7790789097494756
100 1 (TiO$_{2}$)$_{1}$ 1.2 0.03895454112274651 0.7829743638617502
100 1 (TiO$_{2}$)$_{1}$ 1.3 0.04479176593930485 0.7874535404556807
100 1 (TiO$_{2}$)$_{1}$ 1.4000000000000001 0.03931192223396437 0.7913847326790772
100 1 (TiO$_{2}$)$_{1}$ 1.5000000000000002 0.04336224149443342 0.7957209568285205
100 1 (TiO$_{2}$)$_{1}$ 1.6000000000000003 0.03692938149251198 0.7994138949777717
100 1 (TiO$_{2}$)$_{1}$ 1.7000000000000004 0.035976365195931025 0.8030115314973648
100 1 (TiO$_{2}$)$_{1}$ 1.8000000000000005 0.03287906223204293 0.8062994377205691
100 1 (TiO$_{2}$)$_{1}$ 1.9000000000000006 0.029543505194009584 0.8092537882399701
100 1 (TiO$_{2}$)$_{1}$ 2.0000000000000004 0.027875726674992978 0.8120413609074694
100 1 (TiO$_{2}$)$_{1}$ 2.1000000000000005 0.025254931859395292 0.8145668540934089
100 1 (TiO$_{2}$)$_{1}$ 2.2000000000000006 0.022634137043797666 0.8168302677977887
100 1 (TiO$_{2}$)$_{1}$ 2.3000000000000007 0.022395882969652427 0.8190698560947539
100 1 (TiO$_{2}$)$_{1}$ 2.400000000000001 0.019298580005764326 0.8209997140953303
100 1 (TiO$_{2}$)$_{1}$ 2.500000000000001 0.020966358524780997 0.8230963499478084
100 1 (TiO$_{2}$)$_{1}$ 2.600000000000001 0.02072810445063576 0.825169160392872
100 1 (TiO$_{2}$)$_{1}$ 2.700000000000001 0.02156199371014409 0.8273253597638864
100 1 (TiO$_{2}$)$_{1}$ 2.800000000000001 0.021085485561853617 0.8294339083200718
100 1 (TiO$_{2}$)$_{1}$ 2.9000000000000012 0.02060897741356314 0.8314948060614281
100 1 (TiO$_{2}$)$_{1}$ 3.0000000000000013 0.02072810445063576 0.8335676165064917
100 1 (TiO$_{2}$)$_{1}$ 3.1000000000000014 0.022872391117942904 0.835854855618286
100 1 (TiO$_{2}$)$_{1}$ 3.2000000000000015 0.019060325931619087 0.8377608882114479
100 1 (TiO$_{2}$)$_{1}$ 3.3000000000000016 0.01834556370918337 0.8395954445823662
100 1 (TiO$_{2}$)$_{1}$ 3.4000000000000017 0.01858381778332861 0.8414538263606991
100 1 (TiO$_{2}$)$_{1}$ 3.5000000000000018 0.01810730963503813 0.8432645573242029
100 1 (TiO$_{2}$)$_{1}$ 3.600000000000002 0.017749928523820274 0.8450395501765849
100 1 (TiO$_{2}$)$_{1}$ 3.700000000000002 0.015963022967730986 0.846635852473358
100 1 (TiO$_{2}$)$_{1}$ 3.800000000000002 0.016677785190166702 0.8483036309923747
100 1 (TiO$_{2}$)$_{1}$ 3.900000000000002 0.01870294482040123 0.8501739254744148
100 1 (TiO$_{2}$)$_{1}$ 4.000000000000002 0.017988182597965592 0.8519727437342114
100 1 (TiO$_{2}$)$_{1}$ 4.100000000000001 0.016558658153094156 0.8536286095495208
100 1 (TiO$_{2}$)$_{1}$ 4.200000000000001 0.019060325931619174 0.8555346421426827
100 1 (TiO$_{2}$)$_{1}$ 4.300000000000001 0.016439531116021536 0.8571785952542849
100 1 (TiO$_{2}$)$_{1}$ 4.4 0.014295244448714379 0.8586081196991563
100 1 (TiO$_{2}$)$_{1}$ 4.5 0.016677785190166775 0.860275898218173
100 1 (TiO$_{2}$)$_{1}$ 4.6 0.018226436672110834 0.862098541885384
100 1 (TiO$_{2}$)$_{1}$ 4.699999999999999 0.0138187363004239 0.8634804155154264
100 1 (TiO$_{2}$)$_{1}$ 4.799999999999999 0.016082150004803675 0.8650886305159068
100 1 (TiO$_{2}$)$_{1}$ 4.899999999999999 0.012746592966770321 0.8663632898125838
100 1 (TiO$_{2}$)$_{1}$ 4.999999999999998 0.014414371485787 0.8678047269611625
100 1 (TiO$_{2}$)$_{1}$ 5.099999999999998 0.014652625559932238 0.8692699895171557
100 1 (TiO$_{2}$)$_{1}$ 5.1999999999999975 0.010840560373608404 0.8703540455545166
100 1 (TiO$_{2}$)$_{1}$ 5.299999999999997 0.012984847040915562 0.8716525302586081
100 1 (TiO$_{2}$)$_{1}$ 5.399999999999997 0.0138187363004239 0.8730344038886505
100 1 (TiO$_{2}$)$_{1}$ 5.4999999999999964 0.012508338892625082 0.874285237777913
100 1 (TiO$_{2}$)$_{1}$ 5.599999999999996 0.01393786333749652 0.8756790241116627
